index,participant_code,utterance
0,244-1,"So this is a long story, and this is the Disney version and not the Brothers Grimm version."
1,244-1,"So once upon a time, there was a very happy family with one little girl named Cinderella."
2,244-1,The mother had died.
3,244-1,"before the story starts,."
4,244-1,and the father wanted to.
5,244-1,Marry again.
6,244-1,that Cinderella would have a stepmother.
7,244-1,"So he did,."
8,244-1,"and he married this woman whose name I don't remember,."
9,244-1,but she also had two daughters named Anastasia and Rosella.
10,244-1,"And then the book did not tell us, but at this point it's important."
11,244-1,"that the father dies,."
12,244-1,cause he has to be out of the picture.
13,244-1,Didn't show me a picture of father dying.
14,244-1,"So , the mother really does not like Cinderella at all."
15,244-1,and starts to treat Cinderella if she were a servant.
16,244-1,And Cinderella has to do all the cleaning.
17,244-1,"and she wears dirty clothes,."
18,244-1,"and they're, they talk about the fact."
19,244-1,"that she has to clean out the fireplace, hence Cinder, Ella, and Anastasia and Driseella are mean to her."
20,244-1,And um that 's why the father has to be dead.
21,244-1,"So then we see the king, who's a rather blustering man, saying, my son has to marry the prince really needs a wife."
22,244-1,Would he please settle down.
23,244-1,and get a wife.
24,244-1,"We're going to have a ball where he can meet all the young women in the kingdom,."
25,244-1,and then he better choose a wife.
26,244-1,because really we need him to get married.
27,244-1,"So the invitation to the ball comes to the stepmother,."
28,244-1,and um it says all the young maidens must come to the ball.
29,244-1,"and Cinderella goes, God, this is great, I'm gonna be able to go."
30,244-1,"and the stepmother is like , yeah, mhm, sure."
31,244-1,So This probably wasn't in the book.
32,244-1,So actually the stepmother says.
33,244-1,"if you get all your work done, you can go, knowing full well."
34,244-1,that they were gonna put all sorts of work on her.
35,244-1,that would make it.
36,244-1,so she couldn't go.
37,244-1,"She also had nothing to wear, so the mice, including Gus,."
38,244-1,"if you've seen the movie Gus Gus Gus Gus Gus, the mice."
39,244-1,and the birds make a beautiful gown for her.
40,244-1,So she gets all her work done.
41,244-1,Anastasia.
42,244-1,"and Drsella are really making her get them ready, zip me up, tighten my corset, comb my hair, put my bow in my hair,."
43,244-1,"and they get all ready,."
44,244-1,and then Cinderella goes.
45,244-1,and puts her beautiful gown on that the birds.
46,244-1,and the mice have made for her.
47,244-1,"The family is loading into their carriage,."
48,244-1,and Cinderella comes out in this really very nice gown.
49,244-1,And Anastasia.
50,244-1,"and Driseella go nuts, rip the gown apart, make fun of Cinderella, make her."
51,244-1,"and go off without her,."
52,244-1,and she's left in tears.
53,244-1,But her fairy godmother appears.
54,244-1,"and said, Cinderella, you really, you're gonna be going to the ball."
55,244-1,"You don't want me to sing the song, do you?"
56,244-1,Saliadoola Mika boo la bibbidi babidi boo.
57,244-1,She sings a song with the magic.
58,244-1,Put them together.
59,244-1,"and what have you got bibbidi bobbidi boo, there's more, um,."
60,244-1,while she's doing.
61,244-1,"that , she sprinkles the fairy dust around the fairy godmother dust around."
62,244-1,and Cinderella gets a beautiful new gown.
63,244-1,"She turns a pumpkin into a carriage, turns the mice into footmen."
64,244-1,And she gives her some beautiful shoes?
65,244-1,"that , can you imagine are made of glass, comfortable?"
66,244-1,I think not.
67,244-1,"So , she goes off to the ball."
68,244-1,The carriage.
69,244-1,"and the footman deliver, oh, the fairy godmother says,."
70,244-1,"but you have to be done by midnight, you have to be home by midnight."
71,244-1,The magic wears off at midnight.
72,244-1,"So Cinderella goes to the ball, she walks in."
73,244-1,and the prince is smitten.
74,244-1,He's seen every other girl at the ball.
75,244-1,that are really preening.
76,244-1,"and preening for him, but this is the girl for him."
77,244-1,They dance a few dances.
78,244-1,and then they go out on the balcony.
79,244-1,"In the Disney version, they don't do a little smooching,."
80,244-1,but you never know.
81,244-1,"Suddenly, she hears the clock starting to ring 12."
82,244-1,"She goes, oh, it's 12 o'clock."
83,244-1,I've got to go.
84,244-1,"She runs away from him, she runs down the palace stairs."
85,244-1,"and one of her silver, one of her shoes falls off."
86,244-1,"She runs into the carriage, they take off, and at the end of midnight."
87,244-1,"The carriage turns back into a pumpkin, she's in her rags again."
88,244-1,"The footmen are mice again,."
89,244-1,"but oddly, the glass slippers have not turned back into shoes."
90,244-1,"Don't know why the magic on the slippers did not end at midnight,."
91,244-1,but the story wouldn't work without.
92,244-1,"So the prince really, really wants this girl."
93,244-1,"Nobody knows her name, and Anastasia."
94,244-1,and Rosella did not recognize her.
95,244-1,because she was all looking not.
96,244-1,like she had smudges on her face.
97,244-1,or wearing rags.
98,244-1,"So they start going, the prince."
99,244-1,and his Helpers start going door to door to find the girl.
100,244-1,that fits into the glass slipper.
101,244-1,When he arrives at their house.
102,244-1,Cinderella is not allowed to come up to the front where the prince is.
103,244-1,Anastasia tries it on.
104,244-1,Driseella tries it on.
105,244-1,They have big ugly feet.
106,244-1,It.
107,244-1,so doesn't fit.
108,244-1,"And in the Brothers Grimm version, they hack off their toes and their heels,."
109,244-1,and they still don't fit.
110,244-1,But Disney doesn't hack off toes and heels.
111,244-1,Somehow Cinderella manages to.
112,244-1,Get into the living room.
113,244-1,"that it fits, he loves her, they get married,."
114,244-1,and of course they live happily ever after.
115,46-1,"OK, Cinderella."
116,46-1,"Is uh Sort of a maid, I would say."
117,46-1,And she As In a house with 2.
118,46-1,I guess they're sisters.
119,46-1,They make her work and clean.
120,46-1,"and Really, uh, trigger real well."
121,46-1,So They should have made it.
122,46-1,The family gets invited to a ball.
123,46-1,And uh Cinderella's not invited.
124,46-1,She meets up with somebody that advise her to go to the ball.
125,46-1,And she Meets a fairy godmother who gives her a gun.
126,46-1,She goes to the ball.
127,46-1,And uh she meets her prince.
128,46-1,And she has on these glass slippers.
129,46-1,"Maybe, I don't know, glass or fancy lip."
130,46-1,"And uh she has to be home by 12 o'clock or 11 o'clock, something like that."
131,46-1,So she's leaving.
132,46-1,The prince don't want her to leave.
133,46-1,and she loses one of her slippers.
134,46-1,"And uh The next day He guys looking for you, he has a slipper."
135,46-1,Or somebody finds a slipper.
136,46-1,and takes it.
137,46-1,and it fits her foot.
138,46-1,So she ends up with a prince and a.
139,46-1,"Uh, carriage, it was a pump."
140,46-1,"Or something like that, that's the way I remember."
141,neural29-1,"Well, There once was a time that Cinderella and her two sisters and her evil mother."
142,neural29-1,Oh They lived Near a kingdom where.
143,neural29-1,The king lived and his.
144,neural29-1,"Son, which was the prince."
145,neural29-1,"Um, They were having a party,."
146,neural29-1,and they were inviting Cinderella and her family to the kingdom.
147,neural29-1,For the ball.
148,neural29-1,"Um, The letter came from the king and they."
149,neural29-1,Mother told Cinderella she had to stay home.
150,neural29-1,and clean the house.
151,neural29-1,She wasn't allowed to go to the to the ball.
152,neural29-1,"She was, I think, the ugly sister."
153,neural29-1,Or the sister.
154,neural29-1,that didn't belong.
155,neural29-1,"Um, So the mother and the tube."
156,neural29-1,Sisters went to the ball.
157,neural29-1,Cinderella.
158,neural29-1,Decided.
159,neural29-1,that she was going to go to the ball.
160,neural29-1,She got her beautiful dress on.
161,neural29-1,and The fairy godmother showed up.
162,neural29-1,"and Turned her pumpkin and her rodents into a stagecoach, a pumpkin."
163,neural29-1,With horses.
164,neural29-1,"Cinderella went to the ball, and her sisters and mother were very upset why she showed up to the ball."
165,neural29-1,"Prince saw her, fell in love with her, first sight."
166,neural29-1,"They ended up dancing The When the clock struck 12, she would turn back into."
167,neural29-1,Cinderella with.
168,neural29-1,"No Beautiful dress, the pumpkin."
169,neural29-1,or the stagecoach would shrink back to a pumpkin.
170,neural29-1,And the animals would go back to from horses to rodents.
171,neural29-1,"Um, the prince was very upset he couldn't find Cinderella."
172,neural29-1,Cinderella ran out the door.
173,neural29-1,She lost her slipper.
174,neural29-1,"Um, Or her shoe."
175,neural29-1,and The prince found it on the boardwalk.
176,neural29-1,And he Wanted to find out where this woman went to.
177,neural29-1,"and who she was, she never got her name."
178,neural29-1,"And , He searched the whole city, finally, taking the shoe to every woman, to every house."
179,neural29-1,In the city.
180,neural29-1,"Finally, she, he finds Cinderella."
181,neural29-1,And the mothers and the daughters were so appalled.
182,neural29-1,Once He found Cinderella.
183,neural29-1,He made her his queen.
184,neural29-1,that 's about it.
185,221-1,"Um, Cinderella, uh, lived in a home with two stepsisters, um,."
186,221-1,"so she was kind of considered the, the third and not really equal to them."
187,221-1,"Um, a big party."
188,221-1,or ball was coming up.
189,221-1,So they were all excited.
190,221-1,"and got new dresses and ,."
191,221-1,"and getting ready to go to the ball,."
192,221-1,while Cinderella was sweeping up.
193,221-1,and still having to work.
194,221-1,"Um, somehow, uh, I don't know who appeared to her or whatever."
195,221-1,"I don't remember this part,."
196,221-1,but she gave her clicked her wand and Cinderella somehow.
197,221-1,"I can't remember now how Cinderella got to go to the ball,."
198,221-1,"so she went to the ball, um,."
199,221-1,"but she had to leave before midnight,."
200,221-1,or her carriage was gonna turn into a pumpkin.
201,221-1,"And , uh,."
202,221-1,so she went.
203,221-1,and had a great time at the ball.
204,221-1,and danced.
205,221-1,"and met some charming fellow guy,."
206,221-1,"and he fell in love with her,."
207,221-1,"and all of a sudden she realized what time it was,."
208,221-1,"and she ran to catch her carriage home,."
209,221-1,"so it wouldn't turn into a pumpkin,."
210,221-1,or maybe it would.
211,221-1,I don't know.
212,221-1,"When she did, she lost her shoe."
213,221-1,"And , uh, the, uh, uh,."
214,221-1,"but she got home in time, and , uh, Prince Charming,."
215,221-1,"or whoever he was, uh, found the shoe."
216,221-1,"and wanted to find the, the beautiful, um, woman that he had danced with."
217,221-1,and fallen in love with.
218,221-1,"so he went around, uh, uh,."
219,221-1,"and when he came to their house, he tried to shoe on the two other sisters."
220,221-1,"and his shoe didn't fit,."
221,221-1,and then he tried it on Cinderella and the shoe.
222,08-1,Cinderella was a young lady who lived a long time ago.
223,08-1,"Uh, Her mother sadly passed away."
224,08-1,and her father remarried.
225,08-1,"Uh, a lady who had 2 daughters already."
226,08-1,"And uh Her dad sadly had to go off to work, maybe out to slay dragons."
227,08-1,"or uh work in the forest and , and wasn't home much."
228,08-1,so Cinderella was uh at her stepmother's home with her two stepsisters.
229,08-1,"and The poor girl, uh, was, was made to work, uh, being the, the stepdaughter."
230,08-1,Didn't get the best treatment uh.
231,08-1,"She swept the fireplace, uh, swept the."
232,08-1,Where where they did the cooking of the fireplace.
233,08-1,"that all houses had worked in the cinders, cooking and cleaning So her, her name was Ella,."
234,08-1,"because she worked in the cinders, uh, everyone called her Cinderella."
235,08-1,"Uh, one day."
236,08-1,"In this country where they lived, there was A young prince Uh, the young prince, uh, was going, was, was grown up and ,."
237,08-1,and was working.
238,08-1,on becoming the king of the kingdom.
239,08-1,as king he had to have a queen.
240,08-1,"so his parents, the standing king."
241,08-1,and queen threw a big party.
242,08-1,"And they invited all the young people of the kingdom, uh,."
243,08-1,"that their son, the prince could meet all of the young ladies and uh."
244,08-1,Possibly pick a future bride.
245,08-1,"Well, The family was all excited."
246,08-1,"Uh, the stepmother."
247,08-1,"and the, the stepsisters, uh, were getting new clothes."
248,08-1,and getting all dressed.
249,08-1,and Uh Getting ready to to go to the.
250,08-1,"This, this big royal party."
251,08-1,"And Cinderella asked, well, well, what about me?"
252,08-1,Can I get a new dress?
253,08-1,Can I go to.
254,08-1,"and Her stepmother said, no, you can't go to this, uh, this, this is only for your sisters, uh, you, you don't deserve this."
255,08-1,so poor Cinderella went back to her fireplace and up to her room in the attic.
256,08-1,and Opened a chest.
257,08-1,and was reading her book up there.
258,08-1,"and Uh, commiserating with the little birds."
259,08-1,that came into the attic and the mice.
260,08-1,"that came into the attic and her, her little friends."
261,08-1,"and She was just terribly unhappy,."
262,08-1,"but I was gonna make the best of it,."
263,08-1,"but still, she, she would have liked to have gone to the party and ,."
264,08-1,and met the prince.
265,08-1,So The day of the party arrived.
266,08-1,and The stepsisters.
267,08-1,"and the stepmother, uh, she helped them dress."
268,08-1,"and helped them put on their, uh, ribbons and bows and robes."
269,08-1,"and Uh, get into their fancy shoes."
